2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [S_M_UAS_COURSE] at [Wed Apr 03 21:43:52 2024].
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [UNIVERSITY]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [WF_S_M_UAS_COURSE] Run Instance Name: [] Run Id: [501]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: M_UAS_COURSE.
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2024-04-03 21:43:52 : INFO : (9648 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [S_M_UAS_COURSE] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2024-04-03 21:43:52 : INFO : (9648 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2024-04-03 21:43:52 : INFO : (9648 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2024-04-03 21:43:52 : INFO : (9648 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2024-04-03 21:43:52 : INFO : (9648 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2024-04-03 21:43:52 : INFO : (9648 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2024-04-03 21:43:52 : INFO : (9648 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2024-04-03 21:43:52 : INFO : (9648 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
